發料單號,Name,色系名稱,色系編號,成品布號,OP否,DPF,機器規格,染缸容量KG,主泵轉數,帶布輪轉速,噴嘴大小,循環時間,總圈數,浴比,色號,是否有追加,標準樣L,L,CIE_DL,CMC_DL,標準樣a,a,CIE_Da,標準樣b,b,CIE_Db,標準樣C,C,CMC_DC,標準樣h,h,CMC_Dh,CMC_DE,配方料號1,配方濃度1,配方料號2,配方濃度2,配方料號3,配方濃度3,配方料號4,配方濃度4,配方料號5,配方濃度5,配方料號6,配方濃度6,配方料號7,配方濃度7
F9302-25122127,F9302-25122127,TQ,5,SCK-4191,N,1.04167,Rapido-2,400,1250,1000,25*30,71.00,391.00,10.00,A1605-25090123-3B,N,49.45,47.42,-2.04,,4.03,4.55,0.53,-47.27,-46.45,0.82,,46.67,,,275.60,,1.07,1584,0.82,1690,0.465,1681,0.098,無,0,無,0,無,0,無,0
F9302-25122152,F9302-25122152,OL,5,SW-80180C0,N,1.04167,Rapido-2,800,1350,1200,30*30,52.75,477.86,9.85,A1605-25030194-5A,N,34.88,34.48,-0.40,,-2.51,-2.33,0.18,14.51,14.57,0.06,,14.75,,,99.10,,0.31,1565,0.806,1142,0.49,1201,0.441,1430,0.212,無,0,無,0,無,0
F9302-25122162,F9302-25122162,OL,3,SW-80180,N,1.04167,Rapido-2,400,1350,1200,30*30,52.50,293.07,8.42,A1605-23060205-5A,N,38.07,38.33,0.26,,-0.73,-0.72,0.02,10.61,10.52,-0.09,,10.54,,,93.91,,0.16,1724,0.658,1565,0.6138,1142,0.1958,1430,0.1577,無,0,無,0,無,0
F9302-25122261,F9302-25122261,BK,3,SW-80180C0,N,1.04167,Rapido-2,800,1350,1200,30*30,46.50,377.72,9.14,A1605-24030228-7A,N,18.68,18.58,-0.11,,-0.01,-0.05,-0.05,-1.09,-1.37,-0.28,,1.37,,,267.72,,0.41,1862,2.8,1430,0.6336,1191,0.468,1588,0.15,無,0,無,0,無,0
F9302-25122262,F9302-25122262,WH,3,SW-80180C0,N,1.04167,Rapido-2,400,1350,1200,30*30,40.00,384.38,10.96,A1605-24030228-10A,N,82.99,83.29,0.31,,-1.00,-0.91,0.09,4.20,4.42,0.22,,4.52,,,101.60,,0.30,1111,0.02112,1310,0.01716,1510,0.01302,無,0,無,0,無,0,無,0
F9302-25122267,F9302-25122267,BK,6,SCK-4489,N,0.52083,Conveyor-1,300,85,260,140,483.00,51.15,4.17,A1605-25030076-9D,N,17.17,16.53,-0.64,,0.20,0.33,0.13,-10.16,-9.95,0.21,,9.95,,,271.91,,0.64,1593,2.585,1391,0.5406,1724,0.51204,1191,0.1287,無,0,無,0,無,0
F9302-25122281,F9302-25122281,GR,1,SCK-4191,N,1.04167,Rapido-2,400,1250,1000,25*30,60.50,404.73,10.00,A1605-25030023-1G,N,76.86,76.26,-0.60,,-13.31,-13.38,-0.06,-3.45,-4.03,-0.58,,13.97,,,196.75,,0.58,1510,0.05775,1111,0.023278,1310,0.00021,無,0,無,0,無,0,無,0
F9302-25122284,F9302-25122284,BR,3,SCK-4191,N,1.04167,Rapido-2,200,1250,1000,25*30,102.00,207.96,8.47,A1605-25090123-1A,N,48.80,47.77,-1.03,,4.88,4.82,-0.06,8.95,8.50,-0.44,,9.77,,,60.46,,0.66,1576,0.21,1191,0.113,1722,0.109,1391,0.107,無,0,無,0,無,0
F9302-25122292,F9302-25122292,BK,3,SW-80180C0,N,1.04167,Rapido-2,800,1350,1200,30*30,47.00,319.04,9.18,A1605-24030228-7A,N,18.68,18.26,-0.43,,-0.01,0.02,0.03,-1.09,-1.25,-0.16,,1.25,,,270.85,,0.44,1862,2.8,1430,0.6336,1191,0.468,1588,0.15,無,0,無,0,無,0
F9302-25122293,F9302-25122293,BK,6,SK-1298C0,N,1.38889,Rapido-1,600,1250,1000,30*30,73.50,386.93,7.50,A1605-24120054-1C,N,15.26,15.31,0.04,,0.48,0.38,-0.10,-1.17,-1.28,-0.11,,1.34,,,286.59,,0.21,1862,3.1365,1863,0.99,1391,0.52,1191,0.30475,無,0,無,0,無,0
F9302-25122308,F9302-25122308,OL,5,SW-80180C0,N,1.04167,Rapido-2,800,1350,1200,30*30,51.25,444.57,8.91,A1605-25030194-5A,N,34.88,34.21,-0.67,,-2.51,-2.26,0.25,14.51,14.66,0.16,,14.84,,,98.78,,0.49,1565,0.806,1142,0.49,1201,0.441,1430,0.212,無,0,無,0,無,0
F9302-25122318,F9302-25122318,KH,2,SW-80180,N,1.04167,Rapido-2,400,1350,1200,30*30,44.50,302.34,7.41,A1605-24020057-1D,N,63.71,64.01,0.30,,1.95,2.03,0.08,10.25,10.13,-0.12,,10.33,,,78.68,,0.21,1565,0.0585,1142,0.0512,1430,0.04646,1201,0.0204,無,0,無,0,無,0
F9302-25122329,F9302-25122329,GY,1,SCK-3344,N,1.04167,Rapido-2,400,1300,1050,35*40,58.00,458.83,5.00,A1605-25060007-1B,Y,80.54,80.58,0.04,,1.30,0.74,-0.56,3.23,3.11,-0.12,,3.20,,,76.63,,0.76,1310,0.022325,1111,0.02193,1510,0.01635,無,0,無,0,無,0,無,0
F9302-25122342,F9302-25122342,BK,7,SK-1008C0,N,0.83333,Rapido-2,400,1200,950,25*20,62.50,409.31,10.00,A1605-25110036-1A,N,17.29,17.20,-0.09,,-0.51,-0.23,0.28,-0.52,-0.53,-0.01,,0.58,,,246.18,,0.42,1862,2.8,1863,1,1191,0.5,1391,0.485,無,0,無,0,無,0
F9302-25122344,F9302-25122344,BK,6,SCK-4489,N,0.52083,Conveyor-1,300,85,260,120,363.00,67.47,10.13,A1605-25030076-9D,N,17.17,16.70,-0.46,,0.20,0.30,0.09,-10.16,-10.32,-0.16,,10.32,,,271.64,,0.46,1593,2.585,1391,0.5406,1724,0.51204,1191,0.1287,無,0,無,0,無,0
F9302-25122349,F9302-25122349,YE,7,SW-80779C0,Y,1.04167,Rapido-2,100,1250,1000,35*30(2025/12/12),13.50,3109.11,8.57,A1605-25090068-2A,Y,46.73,46.23,-0.50,,-0.21,-0.94,-0.74,38.91,38.13,-0.78,,38.14,,,91.42,,0.69,1191,0.58,1142,0.46,1722,0.275,1576,0.2522,無,0,無,0,無,0
F9302-25122351,F9302-25122351,CO,4,SW-80779C0,Y,1.04167,Rapido-2,100,1250,1000,35*30(2025/12/12),13.50,2044.52,8.57,A1605-25090068-4C,N,33.03,32.44,-0.59,,6.61,7.14,0.53,10.97,10.97,0.00,,13.09,,,56.94,,0.92,1724,1.05,1576,0.62,1391,0.4429,1191,0.31,無,0,無,0,無,0
F9302-25122375,F9302-25122375,BK,7,SW-80264C0,Y,1.04167,Rapido-2,800,1300,1000,35*30,77.25,474.89,4.51,A1605-25110126-1A,N,18.84,17.91,-0.93,,-0.44,-0.34,0.10,-2.60,-2.44,0.16,,2.47,,,262.11,,0.84,1862,3.5,1848,0.3,1142,0.035,無,0,無,0,無,0,無,0
F9302-25122379,F9302-25122379,RE,3,SW-80180C0,N,1.04167,Rapido-2,300,1350,1200,30*30,50.50,265.88,7.48,A1605-25030194-1B,N,52.84,52.31,-0.53,,24.47,24.53,0.05,11.30,11.82,0.52,,27.22,,,25.72,,0.50,1391,0.32,1724,0.118,1142,0.062,1565,0.0495,無,0,無,0,無,0
F9302-25122382,F9302-25122382,OL,1,SCK-3562,N,0.69444,Rapido-2,50,1350,1100,30*30,11.00,1783.82,7.50,A1605-25090127-1A,N,59.76,59.93,0.17,,-5.10,-4.40,0.69,23.58,22.35,-1.23,,22.78,,,101.15,,0.83,1142,0.21,1565,0.125,1391,0.092,無,0,無,0,無,0,無,0
F9302-25122383,F9302-25122383,BL,2,SCK-3562,N,0.69444,Rapido-2,50,1350,1100,30*30,11.50,1783.13,7.50,A1605-25090127-2A,N,49.87,49.52,-0.35,,4.75,5.15,0.41,-31.95,-32.44,-0.49,,32.85,,,279.03,,0.41,1567,0.29,1640,0.087,1580,0.085,1142,0.005,無,0,無,0,無,0
F9302-25122385,F9302-25122385,GY,1,SW-80779C0,Y,1.04167,Rapido-2,100,1250,1000,35*30(2025/12/12),21.00,892.38,5.26,A1605-25090068-5B,N,58.10,57.67,-0.43,,-0.91,-1.20,-0.29,-1.12,-0.20,0.93,,1.22,,,189.29,,1.36,1565,0.145,1724,0.125,1391,0.02744,無,0,無,0,無,0,無,0
F9302-25122422,F9302-25122422,GR,3,SW-80779C0,Y,1.04167,Rapido-2,200,1250,1000,35*40(2025/12/12),57.00,358.56,6.90,A1605-25090068-3C,N,45.39,44.54,-0.85,,-11.94,-11.42,0.52,0.17,-0.23,-0.40,,11.42,,,181.14,,0.70,1576,0.54,1191,0.17,1201,0.028,1391,0.008,無,0,無,0,無,0
F9302-25122423,F9302-25122423,BL,4,SW-80779C0,Y,1.04167,Rapido-2,200,1250,1000,35*40(2025/12/12),60.00,359.68,6.98,A1605-25090160-2A,N,37.49,36.91,-0.58,,0.47,0.74,0.27,-15.42,-15.50,-0.08,,15.52,,,272.74,,0.44,1576,0.85,1391,0.142,1722,0.0415,1191,0.0305,無,0,無,0,無,0
F9302-25122425,F9302-25122425,GY,1,SW-80779C0,Y,1.04167,Rapido-2,100,1250,1000,35*30(2025/12/12),12.50,1522.24,8.82,A1605-25090160-1A,N,79.69,79.57,-0.12,,-1.66,-1.44,0.22,0.09,-0.30,-0.40,,1.47,,,191.95,,0.62,1510,0.019,1310,0.018,1111,0.015,無,0,無,0,無,0,無,0
F9302-25122439,F9302-25122439,BL,6,SCK-3562,N,0.69444,Rapido-2,50,1250,1000,30*40,12.00,2725.00,10.00,A1605-25090156-2B,N,32.63,30.82,-1.81,,12.51,12.83,0.32,-45.01,-44.95,0.06,,46.74,,,285.93,,1.09,1567,1.1,1568,0.8,1681,0.48,1374,0.35,無,0,無,0,無,0
F9302-25122440,F9302-25122440,GY,3,SCK-3562,N,0.69444,Rapido-2,50,1250,1000,30*30,12.00,1487.00,10.00,A1605-25090156-1A,N,57.13,56.23,-0.89,,-0.62,-0.80,-0.18,-0.91,-1.24,-0.34,,1.48,,,237.32,,0.66,1565,0.22,1724,0.165,1391,0.042,無,0,無,0,無,0,無,0
F9302-25122441,F9302-25122441,CO,6,SCK-3562,N,0.69444,Rapido-2,50,1250,1000,30*30,13.00,1801.92,10.00,A1605-25090156-3A,N,33.61,33.51,-0.11,,8.44,8.98,0.54,1.61,0.93,-0.68,,9.03,,,5.92,,1.04,1391,0.78,1576,0.69,1142,0.3,無,0,無,0,無,0,無,0
F9302-25122459,F9302-25122459,BR,4,SCK-3562,N,0.69444,Rapido-2,50,1250,1000,30*30,11.50,2025.13,10.00,A1605-25090156-5A,N,47.10,46.71,-0.39,,21.35,21.04,-0.31,28.57,28.30,-0.27,,35.27,,,53.37,,0.28,1142,0.62,1350,0.22,1430,0.2,1565,0.094,無,0,無,0,無,0
F9302-25122505,F9302-25122505,RE,1,SCK-3344,N,1.04167,Rapido-2,400,1300,1050,35*40,46.50,983.55,4.44,A1605-23080103-8B,Y,77.88,78.61,0.73,,14.29,15.49,1.20,0.97,1.79,0.81,,15.60,,,6.58,,1.19,1400,0.02576,1181,0.004416,1530,0.003672,無,0,無,0,無,0,無,0
F9302-25122538,F9302-25122538,BK,6,SCK-4489,N,0.52083,Conveyor-1,300,85,270,140,482.00,46.50,4.17,A1605-25030076-9D,N,17.17,16.72,-0.44,,0.20,0.29,0.09,-10.16,-9.78,0.38,,9.78,,,271.68,,0.53,1593,2.585,1391,0.5406,1724,0.51204,1191,0.1287,無,0,無,0,無,0
F9302-25122541,F9302-25122541,GY,2,SCK-3230,N,1.66667,Rapido-2,200,1050,850,25*20,167.00,108.63,10.53,1711131-1A,N,32.95,32.47,-0.48,,-0.86,-0.83,0.03,-1.88,-1.81,0.07,,1.99,,,245.39,,0.30,1576,0.73645,1724,0.54,1430,0.044,無,0,無,0,無,0,無,0
F9302-25122555,F9302-25122555,BR,3,SK-727,N,0.52083,Conveyor-1,300,75,230,140,454.00,38.16,5.71,A1605-25010126-1B,N,52.77,50.31,-2.47,,3.17,3.64,0.47,15.55,15.69,0.14,,16.11,,,76.94,,1.24,1724,0.3456,1565,0.152,1142,0.0475,1430,0.04,無,0,無,0,無,0
F9302-25122558,F9302-25122558,PI,1,SK-1085,N,0.52083,Rapido-2,400,1100,600,45*50,92.50,182.30,4.98,A1605-25050130-3A,N,75.44,74.82,-0.60,,13.36,13.26,0.13,5.07,4.95,0.07,,14.15,,,20.46,,0.25,1310,0.09975,1111,0.04876,1510,0.01734,無,0,無,0,無,0,無,0
F9302-25122586,F9302-25122586,GR,2,SW-80074C0,Y,1.04167,Rapido-2,400,1300,900,45*40,68.00,433.04,4.80,A1605-24120121-5B,N,45.00,46.62,1.62,,-0.03,-0.14,-0.11,11.16,11.15,-0.01,,11.15,,,90.73,,0.80,1565,0.4266,1191,0.27,1430,0.1734,1201,0.1692,無,0,無,0,無,0
F9302-25122613,F9302-25122613,BR,2,SCK-2965,N,1.5625,Rapido-2,50,1200,950,30*40,9.00,2241.56,7.50,A1605-25100073-1A,N,51.73,49.77,-1.97,,6.11,6.20,0.09,15.54,13.28,-2.26,,14.66,,,65.00,,2.13,1191,0.184,1430,0.112,1576,0.098,1722,0.0432,無,0,無,0,無,0
F9302-25122614,F9302-25122614,GY,4,SCK-3549,N,1.04167,Rapido-2,50,1300,1100,30*30,8.50,3051.53,8.33,A1605-25100074-1A,N,32.12,33.06,0.94,,0.12,0.48,0.36,-1.30,-1.28,0.02,,1.37,,,290.44,,0.76,1576,0.92,1201,0.235,1391,0.22,1191,0.187,無,0,無,0,無,0
F9302-25122618,F9302-25122618,GY,2,SK-727,N,0.52083,Conveyor-1,300,75,230,140,455.00,33.55,4.98,0909165-1B,N,32.36,30.87,-1.48,,-0.48,-0.49,-0.01,0.68,0.59,-0.09,,0.76,,,129.79,,0.89,1576,0.7344,1430,0.3636,1142,0.318,無,0,無,0,無,0,無,0
F9302-25122625,F9302-25122625,BL,4,SK-1164C0,N,1.04167,Rapido-1,600,1300,1000,30*40,60.75,480.82,5.61,A1605-25100116-2D,N,40.06,40.53,0.47,,-3.82,-3.96,-0.14,-12.64,-12.74,-0.11,,13.34,,,252.74,,0.29,1565,0.76,1391,0.1653,1191,0.0912,1722,0.02375,無,0,無,0,無,0
F9302-25122633,F9302-25122633,BL,6,SW-80779C0,Y,1.04167,Rapido-2,400,1250,1000,35*30(2025/12/12),32.00,1154.16,8.33,A1605-25120036-1A,N,34.14,33.53,-0.61,,8.30,7.87,-0.44,-44.45,-44.47,-0.02,,45.16,,,280.03,,0.47,1567,1.2,1568,0.9,1034,0.0047,無,0,無,0,無,0,無,0
F9302-25122640,F9302-25122640,BK,6,SK-1298C0,N,1.38889,Rapido-1,600,1250,1000,30*30,74.75,393.70,7.56,A1605-24120054-1C,N,15.26,15.32,0.06,,0.48,0.45,-0.04,-1.17,-1.34,-0.16,,1.41,,,288.59,,0.24,1862,3.1365,1863,0.99,1391,0.52,1191,0.30475,無,0,無,0,無,0
F9302-25122645,F9302-25122645,GY,4,SCK-2965,N,1.5625,Rapido-2,50,1200,1000,30*40,9.50,2601.79,7.50,A1605-25100073-2A,N,31.82,30.13,-1.68,,0.17,0.38,0.21,-1.40,-1.83,-0.43,,1.87,,,281.78,,1.21,1576,0.862,1201,0.232,1391,0.2,1191,0.162,無,0,無,0,無,0
F9302-25122657,F9302-25122657,NB,6,SCK-4160,N,1.04167,Rapido-2,100,1250,1000,40*30,13.50,1450.44,7.50,A1605-25110131-1B,N,22.32,21.43,-0.89,,1.86,1.61,-0.25,-14.05,-14.14,-0.09,,14.23,,,276.49,,0.75,1578,1.4,1391,0.451,1191,0.118,1201,0.11,無,0,無,0,無,0
F9302-25122659,F9302-25122659,GY,2,SCK-4186EM,N,1.04167,Rapido-2,100,1250,1000,30*30,22.00,986.09,8.57,A1605-25120041-2A,N,45.70,45.36,-0.34,,-10.94,-10.76,0.18,0.37,0.16,-0.21,,10.76,,,179.16,,0.31,1576,0.303,1565,0.268,1191,0.136,1201,0.096,無,0,無,0,無,0
F9302-25122671,F9302-25122671,BL,2,SW-80425C0,Y,1.04167,Rapido-2,800,1250,900,40*30,82.00,384.96,4.24,A1605-24100020-1B,N,27.54,26.28,-1.26,,-3.54,-3.53,0.01,-7.14,-7.74,-0.60,,8.51,,,245.48,,1.02,1578,1.05,1191,0.29,1430,0.25,1722,0.088,無,0,無,0,無,0
F9302-25122705,F9302-25122705,GY,1,SCK-4191,N,1.04167,Rapido-2,400,1250,1000,25*30,48.50,429.53,10.00,A1605-25090123-4A,N,78.68,77.72,-0.96,,-1.13,-1.04,0.09,3.56,4.08,0.51,,4.21,,,104.30,,0.71,1111,0.0322,1310,0.0283,1510,0.0223,無,0,無,0,無,0,無,0
F9302-25122706,F9302-25122706,RE,1,SCK-4186,N,1.04167,Rapido-2,100,1250,1000,30*30,11.50,1697.57,11.11,A1605-25090099-4D,N,72.83,72.73,-0.10,,38.00,38.53,0.53,11.49,11.96,0.46,,40.34,,,17.24,,0.35,1350,0.06,1201,0.03,1580,0.0003,無,0,無,0,無,0,無,0
F9302-25122707,F9302-25122707,GR,3,SCK-4186EM,N,1.04167,Rapido-2,100,1250,1000,30*30,22.00,930.41,8.33,A1605-25120041-1A,N,57.91,56.60,-1.31,,-0.69,-0.48,0.21,-0.50,-0.30,0.20,,0.57,,,212.20,,0.70,1565,0.167,1724,0.138,1391,0.032,無,0,無,0,無,0,無,0
F9302-25122757,F9302-25122757,BL,5,SK-1288,N,2.08333,Rapido-2,400,1250,1000,35*40,38.50,943.79,6.61,A1605-25070127-3A,Y,24.99,24.99,0.00,,-7.82,-7.51,0.31,-18.81,-19.41,-0.60,,20.81,,,248.84,,0.53,1588,1.8,1578,0.882,1191,0.065,1430,0.0102,無,0,無,0,無,0
F9302-25122758,F9302-25122758,OR,7,SW-8947C0,Y,0.69444,Rapido-2,400,1200,900,30*40,74.00,381.84,4.21,A1605-25070076-1C,N,44.90,45.56,0.66,0.32,53.73,55.92,2.19,41.48,43.98,2.50,,71.14,1.11,,38.19,0.45,1.24,1353,3,1142,0.84,1391,0.36,無,0,無,0,無,0,無,0
F9302-25122771,F9302-25122771,OR,5,SK-1288,N,2.08333,Rapido-2,400,1250,950,35*40,42.00,595.67,8.33,A1605-25070127-4A,N,46.20,46.35,0.15,,52.28,52.41,0.13,44.21,45.15,0.94,,69.18,,,40.75,,0.53,1353,2.268,1142,0.453,1201,0.2205,1565,0.02303,無,0,無,0,無,0
F9302-25122776,F9302-25122776,TQ,5,SCK-3714A,N,0.90278,Rapido-2,400,1250 ,1000,25*30,69.50,469.74,7.92,A1605-24120191-8F,N,26.29,26.13,-0.16,,2.49,2.06,-0.43,-21.72,-22.05,-0.33,,22.15,,,275.33,,0.51,1578,1.5,1391,0.315,1191,0.051,無,0,無,0,無,0,無,0
F9302-25122794,F9302-25122794,GY,3,SK-1107C0,N,0.83333,Rapido-2,400,1200,1000,25X2,78.50,362.33,8.57,A1605-24120183-7A,N,48.71,47.92,-0.79,,0.32,0.34,0.01,0.31,0.64,0.33,,0.72,,,62.14,,0.62,1565,0.29355,1430,0.13736,1191,0.123384,1722,0.049995,無,0,無,0,無,0
F9302-25122838,F9302-25122838,BK,3,SCK-3883,Y,1.04167,Rapido-2,50,1250,1000,35*40(2025/11/26),7.50,3170.53,10.53,A1605-21050131-12A,N,16.79,17.05,0.26,,0.39,0.79,0.39,-1.44,-1.53,-0.09,,1.72,,,297.23,,0.61,1862,3.7,1848,0.5,1722,0.455,1391,0.295,1588,0.28,無,0,無,0
F9302-25122852,F9302-25122852,BK,6,SK-1298C0,N,1.38889,Rapido-1,600,1250,1000,30*30,65.25,474.57,7.56,A1605-24120054-1C,N,15.26,15.31,0.05,,0.48,0.43,-0.06,-1.17,-1.20,-0.02,,1.27,,,289.58,,0.10,1862,3.1365,1863,0.99,1391,0.52,1191,0.30475,無,0,無,0,無,0
F9302-25122853,F9302-25122853,BR,4,SK-1085,N,0.52083,Rapido-1,600,1100,600,45*50,173.25,124.08,3.10,A1605-25030054-1B,N,31.92,32.17,0.25,,10.08,10.15,0.06,10.06,10.18,0.12,,14.37,,,45.08,,0.18,1724,1.21,1576,0.311,1430,0.297,1588,0.176,無,0,無,0,無,0
F9302-25122873,F9302-25122873,RE,4,SCK-4186,N,1.04167,Rapido-2,100,1250,1000,30*30,12.00,2245.33,11.11,A1605-25090081-4B,N,55.93,55.28,-0.65,,54.25,55.89,1.64,15.91,17.33,1.42,,58.52,,,17.23,,0.95,1353,0.582,1383,0.356,1201,0.062,1580,0.0025,無,0,無,0,無,0
F9302-25122874,F9302-25122874,GR,4,SCK-4186,N,1.04167,Rapido-2,100,1250,1000,30*30,11.00,1922.73,11.11,A1605-25090081-3A,N,57.47,57.08,-0.39,,-40.60,-40.05,0.55,12.79,12.54,-0.25,,41.97,,,162.62,,0.31,1584,0.78,1191,0.252,無,0,無,0,無,0,無,0,無,0
F9302-25122897,F9302-25122897,GR,1,SCK-2965,N,1.5625,Rapido-2,50,1200,1000,30*40,8.50,2342.59,7.89,A1605-25090076-1A,N,77.53,76.58,-0.96,,-8.29,-8.34,-0.05,24.87,23.29,-1.58,,24.74,,,109.71,,0.97,1191,0.047,1565,0.022,1201,0.0113,1391,0.003,無,0,無,0,無,0
F9302-25122898,F9302-25122898,NB,7,SCK-4186,N,1.04167,Rapido-2,50,1250,1000,30*30,10.50,2782.19,8.33,A1605-25040003-3B,N,17.47,17.06,-0.42,,0.19,0.40,0.21,-6.49,-6.43,0.06,,6.44,,,273.55,,0.48,1578,2.2,1862,1,1724,0.825,1391,0.37,無,0,無,0,無,0
F9302-25122915,F9302-25122915,PU,5,SCK-3883,Y,1.04167,Rapido-2,100,1250,1000,35*30(2025/11/26),7.50,3183.07,10.53,A1605-25090126-1A,N,31.54,30.24,-1.30,,36.57,36.56,0.00,-23.91,-23.56,0.36,,43.49,,,327.20,,0.81,1374,2.09,1640,0.5415,1191,0.01425,1580,0.01425,無,0,無,0,無,0
F9302-25122944,F9302-25122944,GR,1,SCK-4186,N,1.04167,Rapido-2,100,1250,1000,30*30,11.00,2041.73,11.11,A1605-25040083-3C,N,77.49,76.45,-1.04,,-8.19,-8.74,-0.55,24.47,23.26,-1.21,,24.85,,,110.60,,0.97,1191,0.059,1565,0.027,1722,0.014,無,0,無,0,無,0,無,0
F9302-25122946,F9302-25122946,GR,2,SCK-3883,Y,1.04167,Rapido-2,100,1250,1000,35*30(2025/11/26),8.00,1916.38,10.53,A1605-25090051-2A,N,82.27,82.31,0.04,,-7.30,-8.04,-0.73,4.54,3.23,-1.31,,8.66,,,158.08,,1.68,1111,0.0193,1510,0.0174,1310,0.0061,無,0,無,0,無,0,無,0
F9302-25122947,F9302-25122947,BL,1,SK-1107C0,N,0.83333,Rapido-2,400,1200,1000,25X2,102.50,200.58,10.13,A1605-24120183-9E,N,89.61,89.27,-0.33,,-4.82,-5.10,-0.28,-4.05,-4.24,-0.18,,6.63,,,219.74,,0.35,1510,0.01296,1111,0.00192,1310,0.00113,無,0,無,0,無,0,無,0
F9302-25122957,F9302-25122957,BK,6,SK-1288,N,2.08333,Rapido-2,800,1250,1000,35*40,61.75,362.41,4.76,A1605-25070127-1A,N,18.23,18.06,-0.17,,-0.35,-0.22,0.13,-2.15,-2.07,0.08,,2.08,,,264.00,,0.25,1862,1.848,1391,0.46,1578,0.4,1191,0.28,無,0,無,0,無,0
F9302-25122958,F9302-25122958,BK,7,SCK-3714A,N,0.90278,Rapido-1,600,1250 ,1000,25*30,54.25,491.61,12.77,A1605-22030229-1C,N,18.05,17.26,-0.79,,0.46,0.75,0.30,-1.87,-1.91,-0.04,,2.06,,,291.45,,0.81,1862,3.399,1724,0.5985,1430,0.525,1142,0.2331,無,0,無,0,無,0
F9302-25122966,F9302-25122966,YE,0,SCK-3714A,N,0.90278,Rapido-2,400,1250 ,1000,30*30,90.50,284.63,9.88,2007140-1J,N,102.63,103.48,0.85,,-37.04,-36.65,0.38,110.87,113.37,2.49,,119.14,,,107.92,,0.83,1013,1.236,1191,0.07776,無,0,無,0,無,0,無,0,無,0
F9302-25122969,F9302-25122969,YE,1,SCK-3883,Y,1.04167,Rapido-2,100,1250,1000,35*30(2025/11/26),8.00,1866.63,10.53,A1605-25090051-1A,N,82.24,82.17,-0.07,,1.54,1.19,-0.35,10.48,10.16,-0.32,,10.23,,,83.34,,0.53,1111,0.031,1310,0.019,1510,0.0075,無,0,無,0,無,0,無,0
F9302-25122971,F9302-25122971,BL,2,SW-80352C01,Y,0.69444,Rapido-1,600,1200,950,25*25,52.50,550.50,13.95,A1605-25050142-2B,Y,52.87,54.04,1.16,,-6.51,-6.35,0.16,-4.49,-4.89,-0.39,,8.01,,,217.58,,0.71,1565,0.261,1391,0.06052,1142,0.04895,無,0,無,0,無,0,無,0
F9302-25122988,F9302-25122988,BL,4,SW-80661C0,Y,1.04167,Rapido-2,400,1350,1050,35*30,57.00,434.00,5.26,A1605-25060006-1B,N,29.00,28.93,-0.06,,-2.32,-2.21,0.11,-14.48,-14.80,-0.32,,14.97,,,261.51,,0.28,1578,1.02,1722,0.13515,1191,0.0404,1391,0.03741,無,0,無,0,無,0
F9302-25122990,F9302-25122990,NB,5,SW-80074C0,Y,1.04167,Rapido-2,800,1200,800,45*40,63.00,595.60,4.84,A1605-24120121-3A,N,23.19,23.76,0.57,,-2.61,-2.37,0.24,-7.22,-7.45,-0.23,,7.82,,,252.33,,0.59,1578,1.05,1576,0.98,1391,0.6868,1142,0.43065,無,0,無,0,無,0
F9302-25122998,F9302-25122998,GY,1,SCK-4186,N,1.04167,Rapido-2,50,1250,1000,30*30,10.50,2032.38,11.11,A1605-25090099-1A,N,79.71,78.93,-0.78,,-1.23,-1.27,-0.04,0.12,0.35,0.22,,1.31,,,164.70,,0.43,1310,0.0232,1510,0.023,1111,0.0208,無,0,無,0,無,0,無,0
F9302-25122999,F9302-25122999,PU,2,SCK-4186,N,1.04167,Rapido-2,50,1250,1000,30*30,11.00,1813.09,11.11,A1605-25040084-1A,N,50.94,49.97,-0.97,,4.98,6.17,1.19,-32.87,-33.68,-0.81,,34.24,,,280.39,,1.08,1681,0.227,1588,0.203,無,0,無,0,無,0,無,0,無,0
F9302-25123000,F9302-25123000,CO,4,SCK-4186,N,1.04167,Rapido-2,50,1250,1000,30*30,10.50,2188.57,11.11,A1605-25090161-5A,N,33.25,33.10,-0.15,,8.72,8.88,0.16,1.13,0.60,-0.53,,8.90,,,3.84,,0.69,1576,0.65,1391,0.648,1191,0.285,1722,0.097,無,0,無,0,無,0
F9302-25123001,F9302-25123001,BL,4,SCK-3883,Y,1.04167,Rapido-2,50,1250,1000,35*30(2025/11/26),6.50,3333.23,10.53,A1605-25090126-2A,N,36.79,34.73,-2.06,,0.61,0.81,0.20,-15.05,-15.09,-0.03,,15.11,,,273.09,,1.15,1576,0.97,1391,0.16,1722,0.052,1191,0.041,無,0,無,0,無,0
F9302-25123005,F9302-25123005,GY,4,SCK-3883,Y,1.04167,Rapido-2,100,1250,1000,35*30(2025/11/26),8.00,1540.13,10.53,A1605-25100062-1A,N,57.34,56.08,-1.26,,-0.60,-0.44,0.16,-1.13,-1.00,0.13,,1.09,,,246.37,,0.61,1565,0.185,1724,0.17,1391,0.039,無,0,無,0,無,0,無,0
F9302-25123007,F9302-25123007,OL,5,SK-1085,N,0.52083,Rapido-1,600,1100,600,45*40,105.50,188.09,4.22,A1605-25030054-3C,N,39.98,39.66,-0.32,,-10.03,-9.99,0.05,4.21,4.52,0.31,,10.96,,,155.62,,0.37,1576,0.665,1191,0.252,1201,0.181,1580,0.14,無,0,無,0,無,0
